id,Ammonium value,location,sample date,measure
2227,0.33,Boonsri,11-Jan-98,Ammonium
8297,0.3,Kannika,26-Jan-98,Ammonium
8778,0.28,Kannika,26-Jan-98,Ammonium
9261,0.27,Kannika,26-Jan-98,Ammonium
5054,0.4,Chai,31-Jan-98,Ammonium
5538,0.4,Chai,31-Jan-98,Ammonium
6016,0.41,Chai,31-Jan-98,Ammonium
2267,0.14,Boonsri,15-Feb-98,Ammonium
5093,0.77,Chai,20-Feb-98,Ammonium
5577,0.6,Chai,20-Feb-98,Ammonium
6055,0.32,Chai,20-Feb-98,Ammonium
8337,0.14,Kannika,24-Feb-98,Ammonium
8818,0.13,Kannika,24-Feb-98,Ammonium
9301,0.14,Kannika,24-Feb-98,Ammonium
2307,0.2,Boonsri,12-Mar-98,Ammonium
5132,1.78,Chai,19-Mar-98,Ammonium
5616,1.11,Chai,19-Mar-98,Ammonium
6094,0.63,Chai,19-Mar-98,Ammonium
8377,0.23,Kannika,21-Mar-98,Ammonium
8858,0.27,Kannika,21-Mar-98,Ammonium
9341,0.21,Kannika,21-Mar-98,Ammonium
2347,0.12,Boonsri,11-Apr-98,Ammonium
2710,0.14,Boonsri,11-Apr-98,Ammonium
4811,14.2,Kohsoom,16-Apr-98,Ammonium
5171,0.16,Chai,17-Apr-98,Ammonium
5655,0.12,Chai,17-Apr-98,Ammonium
6133,0.16,Chai,17-Apr-98,Ammonium
6495,1.52,Somchair,17-Apr-98,Ammonium
8417,0.19,Kannika,18-Apr-98,Ammonium
8898,0.16,Kannika,18-Apr-98,Ammonium
9381,0.19,Kannika,18-Apr-98,Ammonium
9870,0.16,Sakda,18-Apr-98,Ammonium
2389,0.14,Boonsri,9-May-98,Ammonium
2751,0.28,Boonsri,9-May-98,Ammonium
5212,0.41,Chai,20-May-98,Ammonium
5696,0.3,Chai,20-May-98,Ammonium
6174,0.31,Chai,20-May-98,Ammonium
8459,0.31,Kannika,26-May-98,Ammonium
8940,0.38,Kannika,26-May-98,Ammonium
9423,0.2,Kannika,26-May-98,Ammonium
2428,0.16,Boonsri,6-Jun-98,Ammonium
2790,0.12,Boonsri,6-Jun-98,Ammonium
4853,0.95,Kohsoom,27-Jun-98,Ammonium
5252,0.21,Chai,28-Jun-98,Ammonium
5736,0.16,Chai,28-Jun-98,Ammonium
6214,0.21,Chai,28-Jun-98,Ammonium
6536,1.02,Somchair,29-Jun-98,Ammonium
8499,0.31,Kannika,29-Jun-98,Ammonium
8980,0.28,Kannika,29-Jun-98,Ammonium
9463,0.2,Kannika,29-Jun-98,Ammonium
9911,0.19,Sakda,30-Jun-98,Ammonium
2470,0.15,Boonsri,11-Jul-98,Ammonium
2832,0.11,Boonsri,11-Jul-98,Ammonium
5293,0.77,Chai,23-Jul-98,Ammonium
5777,1.24,Chai,23-Jul-98,Ammonium
6255,0.85,Chai,23-Jul-98,Ammonium
8540,0.21,Kannika,26-Jul-98,Ammonium
9021,0.21,Kannika,26-Jul-98,Ammonium
9504,0.21,Kannika,26-Jul-98,Ammonium
2510,0.21,Boonsri,8-Aug-98,Ammonium
2873,0.19,Boonsri,8-Aug-98,Ammonium
4895,1.15,Kohsoom,22-Aug-98,Ammonium
5339,0.23,Chai,23-Aug-98,Ammonium
5817,0.18,Chai,23-Aug-98,Ammonium
6295,0.23,Chai,23-Aug-98,Ammonium
6577,1.14,Somchair,24-Aug-98,Ammonium
8586,0.23,Kannika,25-Aug-98,Ammonium
9061,0.21,Kannika,25-Aug-98,Ammonium
9544,0.23,Kannika,25-Aug-98,Ammonium
9953,0.21,Sakda,26-Aug-98,Ammonium
2550,0.3,Boonsri,5-Sep-98,Ammonium
2913,0.23,Boonsri,5-Sep-98,Ammonium
8626,0.19,Kannika,20-Sep-98,Ammonium
9101,0.14,Kannika,20-Sep-98,Ammonium
9584,0.18,Kannika,20-Sep-98,Ammonium
5379,0.19,Chai,27-Sep-98,Ammonium
5857,0.16,Chai,27-Sep-98,Ammonium
6335,0.19,Chai,27-Sep-98,Ammonium
4935,0.54,Kohsoom,1-Oct-98,Ammonium
2590,0.2,Boonsri,3-Oct-98,Ammonium
2953,0.16,Boonsri,3-Oct-98,Ammonium
8666,0.31,Kannika,23-Oct-98,Ammonium
9141,0.29,Kannika,23-Oct-98,Ammonium
9624,0.29,Kannika,23-Oct-98,Ammonium
9750,0.31,Sakda,24-Oct-98,Ammonium
9993,0.37,Sakda,24-Oct-98,Ammonium
10113,0.35,Sakda,24-Oct-98,Ammonium
6737,0.49,Busarakhan,29-Oct-98,Ammonium
5419,0.37,Chai,30-Oct-98,Ammonium
5897,0.39,Chai,30-Oct-98,Ammonium
6375,0.39,Chai,30-Oct-98,Ammonium
6617,0.35,Somchair,30-Oct-98,Ammonium
2630,0.07,Boonsri,7-Nov-98,Ammonium
2993,0.06,Boonsri,7-Nov-98,Ammonium
4975,0.6,Kohsoom,14-Nov-98,Ammonium
8706,0.18,Kannika,20-Nov-98,Ammonium
9181,0.27,Kannika,20-Nov-98,Ammonium
9664,0.25,Kannika,20-Nov-98,Ammonium
9790,0.11,Sakda,20-Nov-98,Ammonium
10033,0.11,Sakda,20-Nov-98,Ammonium
10153,0.1,Sakda,20-Nov-98,Ammonium
5459,0.3,Chai,26-Nov-98,Ammonium
5937,0.23,Chai,26-Nov-98,Ammonium
6415,0.2,Chai,26-Nov-98,Ammonium
6657,1.2,Somchair,28-Nov-98,Ammonium
6777,0.57,Busarakhan,28-Nov-98,Ammonium
2670,0.14,Boonsri,5-Dec-98,Ammonium
3033,0.11,Boonsri,5-Dec-98,Ammonium
9830,0.13,Sakda,10-Dec-98,Ammonium
10073,0.13,Sakda,10-Dec-98,Ammonium
10193,0.12,Sakda,10-Dec-98,Ammonium
5015,0.34,Kohsoom,13-Dec-98,Ammonium
8740,0.11,Kannika,17-Dec-98,Ammonium
