id,Anionic value,location,sample date,measure
52460,0.15,Sakda,16-Jan-99,Anionic active surfactants
52881,0.15,Sakda,16-Jan-99,Anionic active surfactants
53642,0.15,Sakda,16-Jan-99,Anionic active surfactants
50885,0.14,Kannika,21-Jan-99,Anionic active surfactants
51302,0.14,Kannika,21-Jan-99,Anionic active surfactants
52059,0.15,Kannika,21-Jan-99,Anionic active surfactants
48107,0,Somchair,27-Jan-99,Anionic active surfactants
48875,0,Busarakhan,27-Jan-99,Anionic active surfactants
46137,0,Chai,30-Jan-99,Anionic active surfactants
46929,0,Chai,30-Jan-99,Anionic active surfactants
47333,0,Chai,30-Jan-99,Anionic active surfactants
46176,0,Chai,18-Feb-99,Anionic active surfactants
46967,0,Chai,18-Feb-99,Anionic active surfactants
47371,0,Chai,18-Feb-99,Anionic active surfactants
48142,0.02,Somchair,20-Feb-99,Anionic active surfactants
48910,0,Busarakhan,20-Feb-99,Anionic active surfactants
50918,0.18,Kannika,26-Feb-99,Anionic active surfactants
51336,0.17,Kannika,26-Feb-99,Anionic active surfactants
52091,0.18,Kannika,26-Feb-99,Anionic active surfactants
52493,0.18,Sakda,27-Feb-99,Anionic active surfactants
52913,0.18,Sakda,27-Feb-99,Anionic active surfactants
53675,0.18,Sakda,27-Feb-99,Anionic active surfactants
46214,0.03,Chai,17-Mar-99,Anionic active surfactants
47004,0.1,Chai,17-Mar-99,Anionic active surfactants
47408,0.04,Chai,17-Mar-99,Anionic active surfactants
48179,0,Somchair,19-Mar-99,Anionic active surfactants
48947,0,Busarakhan,19-Mar-99,Anionic active surfactants
50953,0,Kannika,24-Mar-99,Anionic active surfactants
51370,0,Kannika,24-Mar-99,Anionic active surfactants
52125,0,Kannika,24-Mar-99,Anionic active surfactants
52529,0,Sakda,25-Mar-99,Anionic active surfactants
52948,0,Sakda,25-Mar-99,Anionic active surfactants
53709,0,Sakda,25-Mar-99,Anionic active surfactants
52597,0.07,Sakda,26-May-99,Anionic active surfactants
53012,0.08,Sakda,26-May-99,Anionic active surfactants
53839,0.08,Sakda,26-Jul-99,Anionic active surfactants
97500,0.06,Boonsri,14-Jan-00,Anionic active surfactants
98292,0.06,Boonsri,14-Jan-00,Anionic active surfactants
104644,0.06,Chai,14-Jan-00,Anionic active surfactants
105447,0.07,Chai,14-Jan-00,Anionic active surfactants
106239,0.08,Chai,14-Jan-00,Anionic active surfactants
107029,0.15,Somchair,15-Jan-00,Anionic active surfactants
107836,0.13,Busarakhan,15-Jan-00,Anionic active surfactants
103836,0.16,Kohsoom,16-Jan-00,Anionic active surfactants
110673,0.09,Kannika,19-Jan-00,Anionic active surfactants
111474,0.1,Kannika,19-Jan-00,Anionic active surfactants
112271,0.11,Kannika,19-Jan-00,Anionic active surfactants
113070,0.12,Sakda,19-Jan-00,Anionic active surfactants
