id,value,location,sample date,measure
2243,0,Boonsri,11-Jan-98,Lead
8313,0,Kannika,26-Jan-98,Lead
8794,0,Kannika,26-Jan-98,Lead
9277,0,Kannika,26-Jan-98,Lead
5070,0,Chai,31-Jan-98,Lead
5554,0,Chai,31-Jan-98,Lead
6032,0,Chai,31-Jan-98,Lead
2283,0,Boonsri,15-Feb-98,Lead
5109,0,Chai,20-Feb-98,Lead
5593,0,Chai,20-Feb-98,Lead
6071,0,Chai,20-Feb-98,Lead
8353,0,Kannika,24-Feb-98,Lead
8834,0,Kannika,24-Feb-98,Lead
9317,0,Kannika,24-Feb-98,Lead
2323,0,Boonsri,12-Mar-98,Lead
5148,0,Chai,19-Mar-98,Lead
5632,0,Chai,19-Mar-98,Lead
6110,0,Chai,19-Mar-98,Lead
8393,10,Kannika,21-Mar-98,Lead
8874,10,Kannika,21-Mar-98,Lead
9357,10,Kannika,21-Mar-98,Lead
2363,20,Boonsri,11-Apr-98,Lead
2726,35,Boonsri,11-Apr-98,Lead
4827,90,Kohsoom,16-Apr-98,Lead
5187,30,Chai,17-Apr-98,Lead
5671,41,Chai,17-Apr-98,Lead
6149,55,Chai,17-Apr-98,Lead
6511,41,Somchair,17-Apr-98,Lead
8433,20,Kannika,18-Apr-98,Lead
8914,20,Kannika,18-Apr-98,Lead
9397,10,Kannika,18-Apr-98,Lead
9886,15,Sakda,18-Apr-98,Lead
2405,0,Boonsri,9-May-98,Lead
2767,0,Boonsri,9-May-98,Lead
5228,0,Chai,20-May-98,Lead
5712,0,Chai,20-May-98,Lead
6190,0,Chai,20-May-98,Lead
8475,0,Kannika,26-May-98,Lead
8956,0,Kannika,26-May-98,Lead
9439,0,Kannika,26-May-98,Lead
2444,1,Boonsri,6-Jun-98,Lead
2806,4,Boonsri,6-Jun-98,Lead
4869,34,Kohsoom,27-Jun-98,Lead
5268,20,Chai,28-Jun-98,Lead
5752,11,Chai,28-Jun-98,Lead
6230,1,Chai,28-Jun-98,Lead
6552,10,Somchair,29-Jun-98,Lead
8515,10,Kannika,29-Jun-98,Lead
8996,10,Kannika,29-Jun-98,Lead
9479,10,Kannika,29-Jun-98,Lead
9927,1,Sakda,30-Jun-98,Lead
2486,0,Boonsri,11-Jul-98,Lead
2848,0,Boonsri,11-Jul-98,Lead
5309,0,Chai,23-Jul-98,Lead
5793,0,Chai,23-Jul-98,Lead
6271,0,Chai,23-Jul-98,Lead
8556,0,Kannika,26-Jul-98,Lead
9037,0,Kannika,26-Jul-98,Lead
9520,0,Kannika,26-Jul-98,Lead
2526,4,Boonsri,8-Aug-98,Lead
2889,3,Boonsri,8-Aug-98,Lead
5330,32.89,Chai,15-Aug-98,Lead
8577,22.25,Kannika,15-Aug-98,Lead
9741,23.36,Sakda,15-Aug-98,Lead
4911,52,Kohsoom,22-Aug-98,Lead
5355,11,Chai,23-Aug-98,Lead
5833,16,Chai,23-Aug-98,Lead
6311,7,Chai,23-Aug-98,Lead
6593,15,Somchair,24-Aug-98,Lead
8602,20,Kannika,25-Aug-98,Lead
9077,20,Kannika,25-Aug-98,Lead
9560,20,Kannika,25-Aug-98,Lead
9969,18,Sakda,26-Aug-98,Lead
2566,0,Boonsri,5-Sep-98,Lead
2929,0,Boonsri,5-Sep-98,Lead
8642,0,Kannika,20-Sep-98,Lead
9117,0,Kannika,20-Sep-98,Lead
9600,0,Kannika,20-Sep-98,Lead
