id,Magnesium value,location,sample date,measure
2235,9.7,Boonsri,11-Jan-98,Magnesium
8305,9.33,Kannika,26-Jan-98,Magnesium
8786,8.8,Kannika,26-Jan-98,Magnesium
9269,9.3,Kannika,26-Jan-98,Magnesium
5062,14.8,Chai,31-Jan-98,Magnesium
5546,14.6,Chai,31-Jan-98,Magnesium
6024,15.2,Chai,31-Jan-98,Magnesium
2275,24.2,Boonsri,15-Feb-98,Magnesium
5101,21.63,Chai,20-Feb-98,Magnesium
5585,22.82,Chai,20-Feb-98,Magnesium
6063,24.42,Chai,20-Feb-98,Magnesium
8345,11.9,Kannika,24-Feb-98,Magnesium
8826,11.9,Kannika,24-Feb-98,Magnesium
9309,11.9,Kannika,24-Feb-98,Magnesium
2315,21.7,Boonsri,12-Mar-98,Magnesium
5140,20.05,Chai,19-Mar-98,Magnesium
5624,20.94,Chai,19-Mar-98,Magnesium
6102,19.86,Chai,19-Mar-98,Magnesium
8385,14.73,Kannika,21-Mar-98,Magnesium
8866,14.7,Kannika,21-Mar-98,Magnesium
9349,15.2,Kannika,21-Mar-98,Magnesium
2355,13.8,Boonsri,11-Apr-98,Magnesium
2718,13.8,Boonsri,11-Apr-98,Magnesium
4819,21,Kohsoom,16-Apr-98,Magnesium
5179,12.6,Chai,17-Apr-98,Magnesium
5663,12,Chai,17-Apr-98,Magnesium
6141,13.8,Chai,17-Apr-98,Magnesium
6503,25.8,Somchair,17-Apr-98,Magnesium
8425,13.2,Kannika,18-Apr-98,Magnesium
8906,12.6,Kannika,18-Apr-98,Magnesium
9389,13.2,Kannika,18-Apr-98,Magnesium
9878,14.4,Sakda,18-Apr-98,Magnesium
2397,11.7,Boonsri,9-May-98,Magnesium
2759,10.7,Boonsri,9-May-98,Magnesium
5220,20.09,Chai,20-May-98,Magnesium
5704,19.71,Chai,20-May-98,Magnesium
6182,23.48,Chai,20-May-98,Magnesium
8467,12.16,Kannika,26-May-98,Magnesium
8948,11.7,Kannika,26-May-98,Magnesium
9431,11.7,Kannika,26-May-98,Magnesium
2436,12.8,Boonsri,6-Jun-98,Magnesium
2798,12,Boonsri,6-Jun-98,Magnesium
4861,27,Kohsoom,27-Jun-98,Magnesium
5260,12,Chai,28-Jun-98,Magnesium
5744,12,Chai,28-Jun-98,Magnesium
6222,12,Chai,28-Jun-98,Magnesium
6544,27,Somchair,29-Jun-98,Magnesium
8507,12,Kannika,29-Jun-98,Magnesium
8988,12,Kannika,29-Jun-98,Magnesium
9471,12,Kannika,29-Jun-98,Magnesium
9919,12,Sakda,30-Jun-98,Magnesium
2478,13.9,Boonsri,11-Jul-98,Magnesium
2840,11.5,Boonsri,11-Jul-98,Magnesium
5301,21.26,Chai,23-Jul-98,Magnesium
5785,20.6,Chai,23-Jul-98,Magnesium
6263,20.6,Chai,23-Jul-98,Magnesium
8548,12.16,Kannika,26-Jul-98,Magnesium
9029,11.7,Kannika,26-Jul-98,Magnesium
9512,11.2,Kannika,26-Jul-98,Magnesium
2518,12.8,Boonsri,8-Aug-98,Magnesium
2881,12,Boonsri,8-Aug-98,Magnesium
4903,12.6,Kohsoom,22-Aug-98,Magnesium
5347,13.2,Chai,23-Aug-98,Magnesium
