id,Total nitrogen value,location,sample date,measure
613701,3.21,Kannika,13-May-05,Total nitrogen
614664,2.92,Kannika,13-May-05,Total nitrogen
615650,3.13,Kannika,13-May-05,Total nitrogen
616582,3.28,Sakda,13-May-05,Total nitrogen
617542,3.26,Sakda,13-May-05,Total nitrogen
618534,3.21,Sakda,13-May-05,Total nitrogen
603666,1.33,Chai,23-May-05,Total nitrogen
605080,1.78,Chai,23-May-05,Total nitrogen
606553,1.8,Chai,23-May-05,Total nitrogen
607750,2.16,Somchair,29-May-05,Total nitrogen
608697,2,Busarakhan,29-May-05,Total nitrogen
613751,2.3,Kannika,10-Jun-05,Total nitrogen
614722,2.3,Kannika,10-Jun-05,Total nitrogen
615700,2.58,Kannika,10-Jun-05,Total nitrogen
616634,2.33,Sakda,10-Jun-05,Total nitrogen
617600,2.28,Sakda,10-Jun-05,Total nitrogen
618584,2.4,Sakda,10-Jun-05,Total nitrogen
603708,1.84,Chai,13-Jun-05,Total nitrogen
605124,1.63,Chai,13-Jun-05,Total nitrogen
606595,1.72,Chai,13-Jun-05,Total nitrogen
607800,0.766,Somchair,17-Jun-05,Total nitrogen
608748,2.43,Busarakhan,17-Jun-05,Total nitrogen
603755,2.48,Chai,20-Jun-05,Total nitrogen
605178,2.41,Chai,20-Jun-05,Total nitrogen
606642,1.84,Chai,20-Jun-05,Total nitrogen
613802,1.61,Kannika,8-Jul-05,Total nitrogen
614778,1.53,Kannika,8-Jul-05,Total nitrogen
615750,1.46,Kannika,8-Jul-05,Total nitrogen
616686,1.14,Sakda,8-Jul-05,Total nitrogen
617659,1.59,Sakda,8-Jul-05,Total nitrogen
618635,1.51,Sakda,8-Jul-05,Total nitrogen
603798,0.906,Chai,23-Jul-05,Total nitrogen
605228,1.07,Chai,23-Jul-05,Total nitrogen
606685,1.15,Chai,23-Jul-05,Total nitrogen
607850,2.29,Somchair,24-Jul-05,Total nitrogen
608799,3.05,Busarakhan,24-Jul-05,Total nitrogen
613855,1.22,Kannika,12-Aug-05,Total nitrogen
614840,1.26,Kannika,12-Aug-05,Total nitrogen
