id,value,location,sample date,measure
589617,79.660004,Boonsri,14-Jan-05,Oxygen saturation
591212,79.959999,Boonsri,14-Jan-05,Oxygen saturation
592967,81.800003,Boonsri,14-Jan-05,Oxygen saturation
589669,75.699997,Boonsri,28-Jan-05,Oxygen saturation
591271,77.400002,Boonsri,28-Jan-05,Oxygen saturation
593018,76.199997,Boonsri,28-Jan-05,Oxygen saturation
589763,88.400002,Boonsri,24-Feb-05,Oxygen saturation
591380,88.599998,Boonsri,24-Feb-05,Oxygen saturation
593111,89.900002,Boonsri,24-Feb-05,Oxygen saturation
589866,90.599998,Boonsri,25-Mar-05,Oxygen saturation
591498,88.599998,Boonsri,25-Mar-05,Oxygen saturation
593214,89.400002,Boonsri,25-Mar-05,Oxygen saturation
589921,86.150002,Boonsri,8-Apr-05,Oxygen saturation
591561,86.290001,Boonsri,8-Apr-05,Oxygen saturation
593269,86.790001,Boonsri,8-Apr-05,Oxygen saturation
613642,67.5,Kannika,8-Apr-05,Oxygen saturation
614599,76.300003,Kannika,8-Apr-05,Oxygen saturation
615592,68.800003,Kannika,8-Apr-05,Oxygen saturation
616524,75.5,Sakda,8-Apr-05,Oxygen saturation
617479,74.900002,Sakda,8-Apr-05,Oxygen saturation
618477,75.900002,Sakda,8-Apr-05,Oxygen saturation
603525,84.199997,Chai,11-Apr-05,Oxygen saturation
604917,84.199997,Chai,11-Apr-05,Oxygen saturation
606413,82.300003,Chai,11-Apr-05,Oxygen saturation
603571,73.199997,Chai,21-Apr-05,Oxygen saturation
604970,74.400002,Chai,21-Apr-05,Oxygen saturation
606459,76.099998,Chai,21-Apr-05,Oxygen saturation
589973,93.300003,Boonsri,22-Apr-05,Oxygen saturation
591620,94.5,Boonsri,22-Apr-05,Oxygen saturation
593319,94.400002,Boonsri,22-Apr-05,Oxygen saturation
607693,90.199997,Somchair,24-Apr-05,Oxygen saturation
608640,96.699997,Busarakhan,24-Apr-05,Oxygen saturation
590027,82.419998,Boonsri,13-May-05,Oxygen saturation
591683,74.269997,Boonsri,13-May-05,Oxygen saturation
593373,90.449997,Boonsri,13-May-05,Oxygen saturation
613690,87.699997,Kannika,13-May-05,Oxygen saturation
614653,88.599998,Kannika,13-May-05,Oxygen saturation
615639,90.900002,Kannika,13-May-05,Oxygen saturation
616571,97.599998,Sakda,13-May-05,Oxygen saturation
617532,99,Sakda,13-May-05,Oxygen saturation
618523,98.300003,Sakda,13-May-05,Oxygen saturation
603611,103.300003,Chai,16-May-05,Oxygen saturation
605017,101.800003,Chai,16-May-05,Oxygen saturation
606498,102.5,Chai,16-May-05,Oxygen saturation
603660,99.300003,Chai,23-May-05,Oxygen saturation
605074,112.400002,Chai,23-May-05,Oxygen saturation
606547,104,Chai,23-May-05,Oxygen saturation
590101,83.139999,Boonsri,28-May-05,Oxygen saturation
591757,77.029999,Boonsri,28-May-05,Oxygen saturation
593448,78.82,Boonsri,28-May-05,Oxygen saturation
607739,79.900002,Somchair,29-May-05,Oxygen saturation
608687,81.5,Busarakhan,29-May-05,Oxygen saturation
590138,75.660004,Boonsri,10-Jun-05,Oxygen saturation
591794,77.160004,Boonsri,10-Jun-05,Oxygen saturation
