id,value,location,sample date,measure
589619,105,Boonsri,14-Jan-05,Total hardness
591214,107.239998,Boonsri,14-Jan-05,Total hardness
592969,98.279999,Boonsri,14-Jan-05,Total hardness
613512,124.599999,Kannika,16-Jan-05,Total hardness
614447,130.300003,Kannika,16-Jan-05,Total hardness
615464,130.300003,Kannika,16-Jan-05,Total hardness
616393,135,Sakda,16-Jan-05,Total hardness
617330,141,Sakda,16-Jan-05,Total hardness
618352,141,Sakda,16-Jan-05,Total hardness
607552,118.900002,Somchair,22-Jan-05,Total hardness
608500,113.300003,Busarakhan,22-Jan-05,Total hardness
603311,118,Chai,27-Jan-05,Total hardness
604670,124,Chai,27-Jan-05,Total hardness
606201,124,Chai,27-Jan-05,Total hardness
589671,114.239998,Boonsri,28-Jan-05,Total hardness
591273,109.760002,Boonsri,28-Jan-05,Total hardness
593020,108.639999,Boonsri,28-Jan-05,Total hardness
602352,431.200012,Kohsoom,30-Jan-05,Total hardness
589723,119,Boonsri,11-Feb-05,Total hardness
591333,121.239998,Boonsri,11-Feb-05,Total hardness
593072,116.480003,Boonsri,11-Feb-05,Total hardness
613558,130.300003,Kannika,11-Feb-05,Total hardness
614500,130.300003,Kannika,11-Feb-05,Total hardness
615511,130.300003,Kannika,11-Feb-05,Total hardness
616440,130.300003,Sakda,11-Feb-05,Total hardness
617384,130.300003,Sakda,11-Feb-05,Total hardness
618398,124.599999,Sakda,11-Feb-05,Total hardness
607599,169.899994,Somchair,20-Feb-05,Total hardness
608546,164.300003,Busarakhan,20-Feb-05,Total hardness
603379,135.899994,Chai,21-Feb-05,Total hardness
604753,135.899994,Chai,21-Feb-05,Total hardness
606269,130.300003,Chai,21-Feb-05,Total hardness
589765,125.720001,Boonsri,24-Feb-05,Total hardness
591382,132.720001,Boonsri,24-Feb-05,Total hardness
593113,125.720001,Boonsri,24-Feb-05,Total hardness
602402,381.920013,Kohsoom,27-Feb-05,Total hardness
589816,115.360001,Boonsri,11-Mar-05,Total hardness
591441,112.839996,Boonsri,11-Mar-05,Total hardness
593164,120.120003,Boonsri,11-Mar-05,Total hardness
613599,135.899994,Kannika,11-Mar-05,Total hardness
614548,135.899994,Kannika,11-Mar-05,Total hardness
615550,130.300003,Kannika,11-Mar-05,Total hardness
616482,141.600006,Sakda,11-Mar-05,Total hardness
617431,141.600006,Sakda,11-Mar-05,Total hardness
618437,141.600006,Sakda,11-Mar-05,Total hardness
603442,145,Chai,17-Mar-05,Total hardness
604822,145,Chai,17-Mar-05,Total hardness
606331,140,Chai,17-Mar-05,Total hardness
607646,145,Somchair,24-Mar-05,Total hardness
608594,230,Busarakhan,24-Mar-05,Total hardness
589868,112.839996,Boonsri,25-Mar-05,Total hardness
591500,124.599999,Boonsri,25-Mar-05,Total hardness
593216,108.080002,Boonsri,25-Mar-05,Total hardness
602456,412.720001,Kohsoom,27-Mar-05,Total hardness
589923,122.639999,Boonsri,8-Apr-05,Total hardness
591563,120.400002,Boonsri,8-Apr-05,Total hardness
593271,118.160004,Boonsri,8-Apr-05,Total hardness
613644,145.800003,Kannika,8-Apr-05,Total hardness
614601,140.199997,Kannika,8-Apr-05,Total hardness
615594,134.600006,Kannika,8-Apr-05,Total hardness
616526,140.199997,Sakda,8-Apr-05,Total hardness
617481,140.199997,Sakda,8-Apr-05,Total hardness
618479,134.600006,Sakda,8-Apr-05,Total hardness
603526,134.600006,Chai,11-Apr-05,Total hardness
604918,140.199997,Chai,11-Apr-05,Total hardness
606414,129,Chai,11-Apr-05,Total hardness
589975,90.160004,Boonsri,22-Apr-05,Total hardness
591622,119.279999,Boonsri,22-Apr-05,Total hardness
593321,94.919998,Boonsri,22-Apr-05,Total hardness
602510,381.920013,Kohsoom,25-Apr-05,Total hardness
590029,97.199997,Boonsri,13-May-05,Total hardness
591685,99.699997,Boonsri,13-May-05,Total hardness
593375,92.699997,Boonsri,13-May-05,Total hardness
613692,137.399994,Kannika,13-May-05,Total hardness
614655,120.900002,Kannika,13-May-05,Total hardness
615641,126.400002,Kannika,13-May-05,Total hardness
616573,120.900002,Sakda,13-May-05,Total hardness
617534,126.400002,Sakda,13-May-05,Total hardness
618525,137.399994,Sakda,13-May-05,Total hardness
603613,13.74,Chai,16-May-05,Total hardness
605019,14.29,Chai,16-May-05,Total hardness
606500,17.84,Chai,16-May-05,Total hardness
590103,84.599998,Boonsri,28-May-05,Total hardness
591759,82.300003,Boonsri,28-May-05,Total hardness
593450,89,Boonsri,28-May-05,Total hardness
602583,431.200012,Kohsoom,29-May-05,Total hardness
607741,120.900002,Somchair,29-May-05,Total hardness
608689,126.400002,Busarakhan,29-May-05,Total hardness
590140,80.080002,Boonsri,10-Jun-05,Total hardness
591796,86.800003,Boonsri,10-Jun-05,Total hardness
593487,84.559998,Boonsri,10-Jun-05,Total hardness
613743,126.400002,Kannika,10-Jun-05,Total hardness
614714,131.899994,Kannika,10-Jun-05,Total hardness
615692,137.399994,Kannika,10-Jun-05,Total hardness
616625,126.400002,Sakda,10-Jun-05,Total hardness
617592,131.899994,Sakda,10-Jun-05,Total hardness
618575,137.399994,Sakda,10-Jun-05,Total hardness
603699,137.399994,Chai,13-Jun-05,Total hardness
605115,142.899994,Chai,13-Jun-05,Total hardness
606586,137.399994,Chai,13-Jun-05,Total hardness
607792,112.199997,Somchair,17-Jun-05,Total hardness
608740,106.5,Busarakhan,17-Jun-05,Total hardness
590192,84,Boonsri,24-Jun-05,Total hardness
591855,77.279999,Boonsri,24-Jun-05,Total hardness
593539,81.760002,Boonsri,24-Jun-05,Total hardness
602619,492.799988,Kohsoom,26-Jun-05,Total hardness
590246,88.760002,Boonsri,8-Jul-05,Total hardness
591913,86.519997,Boonsri,8-Jul-05,Total hardness
593593,85.400002,Boonsri,8-Jul-05,Total hardness
613794,100.900002,Kannika,8-Jul-05,Total hardness
614770,106.5,Kannika,8-Jul-05,Total hardness
615742,100.900002,Kannika,8-Jul-05,Total hardness
616678,95.300003,Sakda,8-Jul-05,Total hardness
617651,100.900002,Sakda,8-Jul-05,Total hardness
618627,95.300003,Sakda,8-Jul-05,Total hardness
590302,78.959999,Boonsri,22-Jul-05,Total hardness
591977,85.68,Boonsri,22-Jul-05,Total hardness
593649,88.199997,Boonsri,22-Jul-05,Total hardness
603790,112,Chai,23-Jul-05,Total hardness
605219,117,Chai,23-Jul-05,Total hardness
606676,112,Chai,23-Jul-05,Total hardness
602658,418.880005,Kohsoom,24-Jul-05,Total hardness
607842,123,Somchair,24-Jul-05,Total hardness
608791,140.199997,Busarakhan,24-Jul-05,Total hardness
590356,78.959999,Boonsri,12-Aug-05,Total hardness
592038,74.480003,Boonsri,12-Aug-05,Total hardness
593703,78.959999,Boonsri,12-Aug-05,Total hardness
613847,94,Kannika,12-Aug-05,Total hardness
614832,102,Kannika,12-Aug-05,Total hardness
615795,102,Kannika,12-Aug-05,Total hardness
616732,102,Sakda,12-Aug-05,Total hardness
617713,94,Sakda,12-Aug-05,Total hardness
618680,106,Sakda,12-Aug-05,Total hardness
607894,112.199997,Somchair,14-Aug-05,Total hardness
608843,112.199997,Busarakhan,14-Aug-05,Total hardness
603883,112,Chai,18-Aug-05,Total hardness
605330,89.699997,Chai,18-Aug-05,Total hardness
606770,89.699997,Chai,18-Aug-05,Total hardness
590411,81.400002,Boonsri,26-Aug-05,Total hardness
