id,values,location,sample date,measure
2241,22000,Boonsri,11-Jan-98,Copper
2242,17000,Boonsri,11-Jan-98,Chromium
8311,10000,Kannika,26-Jan-98,Copper
8312,10000,Kannika,26-Jan-98,Chromium
8792,10000,Kannika,26-Jan-98,Copper
8793,10000,Kannika,26-Jan-98,Chromium
9275,10000,Kannika,26-Jan-98,Copper
9276,10000,Kannika,26-Jan-98,Chromium
5068,0,Chai,31-Jan-98,Copper
5069,0,Chai,31-Jan-98,Chromium
5552,0,Chai,31-Jan-98,Copper
5553,0,Chai,31-Jan-98,Chromium
6030,0,Chai,31-Jan-98,Copper
6031,0,Chai,31-Jan-98,Chromium
2281,5000,Boonsri,15-Feb-98,Copper
2282,9000,Boonsri,15-Feb-98,Chromium
5107,0,Chai,20-Feb-98,Copper
5108,0,Chai,20-Feb-98,Chromium
5591,0,Chai,20-Feb-98,Copper
5592,0,Chai,20-Feb-98,Chromium
6069,0,Chai,20-Feb-98,Copper
6070,0,Chai,20-Feb-98,Chromium
8351,0,Kannika,24-Feb-98,Copper
8352,6000,Kannika,24-Feb-98,Chromium
8832,0,Kannika,24-Feb-98,Copper
8833,6000,Kannika,24-Feb-98,Chromium
9315,0,Kannika,24-Feb-98,Copper
9316,6000,Kannika,24-Feb-98,Chromium
2321,9000,Boonsri,12-Mar-98,Copper
2322,6000,Boonsri,12-Mar-98,Chromium
5146,0,Chai,19-Mar-98,Copper
5147,0,Chai,19-Mar-98,Chromium
5630,0,Chai,19-Mar-98,Copper
5631,0,Chai,19-Mar-98,Chromium
6108,0,Chai,19-Mar-98,Copper
6109,0,Chai,19-Mar-98,Chromium
8391,0,Kannika,21-Mar-98,Copper
8392,10000,Kannika,21-Mar-98,Chromium
8872,0,Kannika,21-Mar-98,Copper
8873,10000,Kannika,21-Mar-98,Chromium
9355,0,Kannika,21-Mar-98,Copper
9356,10000,Kannika,21-Mar-98,Chromium
2361,35000,Boonsri,11-Apr-98,Copper
2362,15000,Boonsri,11-Apr-98,Chromium
2724,12000,Boonsri,11-Apr-98,Copper
2725,28000,Boonsri,11-Apr-98,Chromium
4825,24000,Kohsoom,16-Apr-98,Copper
4826,4000,Kohsoom,16-Apr-98,Chromium
5185,44000,Chai,17-Apr-98,Copper
5186,18000,Chai,17-Apr-98,Chromium
5669,37000,Chai,17-Apr-98,Copper
5670,10000,Chai,17-Apr-98,Chromium
6147,64000,Chai,17-Apr-98,Copper
6148,9000,Chai,17-Apr-98,Chromium
6509,12000,Somchair,17-Apr-98,Copper
6510,42000,Somchair,17-Apr-98,Chromium
8431,79000,Kannika,18-Apr-98,Copper
8432,10000,Kannika,18-Apr-98,Chromium
8912,28000,Kannika,18-Apr-98,Copper
8913,3000,Kannika,18-Apr-98,Chromium
9395,23000,Kannika,18-Apr-98,Copper
9396,20000,Kannika,18-Apr-98,Chromium
9884,29000,Sakda,18-Apr-98,Copper
9885,147000,Sakda,18-Apr-98,Chromium
2403,4000,Boonsri,9-May-98,Copper
2404,9000,Boonsri,9-May-98,Chromium
2765,9000,Boonsri,9-May-98,Copper
2766,10000,Boonsri,9-May-98,Chromium
5226,0,Chai,20-May-98,Copper
5227,0,Chai,20-May-98,Chromium
5710,0,Chai,20-May-98,Copper
5711,0,Chai,20-May-98,Chromium
6188,0,Chai,20-May-98,Copper
6189,0,Chai,20-May-98,Chromium
8473,10000,Kannika,26-May-98,Copper
8474,20000,Kannika,26-May-98,Chromium
8954,10000,Kannika,26-May-98,Copper
8955,20000,Kannika,26-May-98,Chromium
9437,10000,Kannika,26-May-98,Copper
9438,20000,Kannika,26-May-98,Chromium
2442,11000,Boonsri,6-Jun-98,Copper
2443,11000,Boonsri,6-Jun-98,Chromium
2804,12000,Boonsri,6-Jun-98,Copper
2805,10000,Boonsri,6-Jun-98,Chromium
4867,12000,Kohsoom,27-Jun-98,Copper
4868,12000,Kohsoom,27-Jun-98,Chromium
5266,11000,Chai,28-Jun-98,Copper
5267,13000,Chai,28-Jun-98,Chromium
5750,10000,Chai,28-Jun-98,Copper
5751,19000,Chai,28-Jun-98,Chromium
6228,10000,Chai,28-Jun-98,Copper
6229,15000,Chai,28-Jun-98,Chromium
6550,10000,Somchair,29-Jun-98,Copper
6551,21000,Somchair,29-Jun-98,Chromium
8513,11000,Kannika,29-Jun-98,Copper
8514,10000,Kannika,29-Jun-98,Chromium
8994,12000,Kannika,29-Jun-98,Copper
8995,10000,Kannika,29-Jun-98,Chromium
9477,11000,Kannika,29-Jun-98,Copper
9478,10000,Kannika,29-Jun-98,Chromium
9925,11000,Sakda,30-Jun-98,Copper
9926,10000,Sakda,30-Jun-98,Chromium
2484,9000,Boonsri,11-Jul-98,Copper
2485,0,Boonsri,11-Jul-98,Chromium
2846,8000,Boonsri,11-Jul-98,Copper
2847,0,Boonsri,11-Jul-98,Chromium
5307,0,Chai,23-Jul-98,Copper
5308,0,Chai,23-Jul-98,Chromium
5791,0,Chai,23-Jul-98,Copper
5792,0,Chai,23-Jul-98,Chromium
6269,0,Chai,23-Jul-98,Copper
6270,0,Chai,23-Jul-98,Chromium
8554,10000,Kannika,26-Jul-98,Copper
8555,30000,Kannika,26-Jul-98,Chromium
9035,10000,Kannika,26-Jul-98,Copper
9036,30000,Kannika,26-Jul-98,Chromium
9518,10000,Kannika,26-Jul-98,Copper
9519,30000,Kannika,26-Jul-98,Chromium
2524,41000,Boonsri,8-Aug-98,Copper
2525,19000,Boonsri,8-Aug-98,Chromium
2887,34000,Boonsri,8-Aug-98,Copper
2888,21000,Boonsri,8-Aug-98,Chromium
5328,18900,Chai,15-Aug-98,Copper
5329,17400,Chai,15-Aug-98,Chromium
8575,62200,Kannika,15-Aug-98,Copper
8576,27200,Kannika,15-Aug-98,Chromium
9739,19700,Sakda,15-Aug-98,Copper
9740,14900,Sakda,15-Aug-98,Chromium
4909,108000,Kohsoom,22-Aug-98,Copper
4910,13000,Kohsoom,22-Aug-98,Chromium
5353,1000,Chai,23-Aug-98,Copper
5354,11000,Chai,23-Aug-98,Chromium
5831,1000,Chai,23-Aug-98,Copper
5832,9000,Chai,23-Aug-98,Chromium
6309,21000,Chai,23-Aug-98,Copper
6310,10000,Chai,23-Aug-98,Chromium
6591,1000,Somchair,24-Aug-98,Copper
6592,10000,Somchair,24-Aug-98,Chromium
8600,1000,Kannika,25-Aug-98,Copper
8601,20000,Kannika,25-Aug-98,Chromium
9075,1000,Kannika,25-Aug-98,Copper
9076,10000,Kannika,25-Aug-98,Chromium
9558,1000,Kannika,25-Aug-98,Copper
9559,10000,Kannika,25-Aug-98,Chromium
9967,34000,Sakda,26-Aug-98,Copper
9968,9000,Sakda,26-Aug-98,Chromium
2564,6000,Boonsri,5-Sep-98,Copper
2565,9000,Boonsri,5-Sep-98,Chromium
2927,5000,Boonsri,5-Sep-98,Copper
2928,6000,Boonsri,5-Sep-98,Chromium
8640,10000,Kannika,20-Sep-98,Copper
8641,30000,Kannika,20-Sep-98,Chromium
9115,10000,Kannika,20-Sep-98,Copper
9116,30000,Kannika,20-Sep-98,Chromium
9598,10000,Kannika,20-Sep-98,Copper
9599,30000,Kannika,20-Sep-98,Chromium
5393,0,Chai,27-Sep-98,Copper
5394,0,Chai,27-Sep-98,Chromium
5871,0,Chai,27-Sep-98,Copper
5872,0,Chai,27-Sep-98,Chromium
6349,0,Chai,27-Sep-98,Copper
6350,0,Chai,27-Sep-98,Chromium
4949,0,Kohsoom,1-Oct-98,Copper
4950,0,Kohsoom,1-Oct-98,Chromium
2604,9000,Boonsri,3-Oct-98,Copper
2605,21000,Boonsri,3-Oct-98,Chromium
2967,10000,Boonsri,3-Oct-98,Copper
2968,19000,Boonsri,3-Oct-98,Chromium
8680,26000,Kannika,23-Oct-98,Copper
8681,9000,Kannika,23-Oct-98,Chromium
9155,23000,Kannika,23-Oct-98,Copper
9156,10000,Kannika,23-Oct-98,Chromium
9638,23000,Kannika,23-Oct-98,Copper
9639,12000,Kannika,23-Oct-98,Chromium
9764,31000,Sakda,24-Oct-98,Copper
9765,7000,Sakda,24-Oct-98,Chromium
10007,29000,Sakda,24-Oct-98,Copper
10008,7000,Sakda,24-Oct-98,Chromium
10127,23000,Sakda,24-Oct-98,Copper
10128,5000,Sakda,24-Oct-98,Chromium
6751,19000,Busarakhan,29-Oct-98,Copper
6752,9000,Busarakhan,29-Oct-98,Chromium
5433,32000,Chai,30-Oct-98,Copper
5434,1000,Chai,30-Oct-98,Chromium
5911,35000,Chai,30-Oct-98,Copper
5912,8000,Chai,30-Oct-98,Chromium
6389,33000,Chai,30-Oct-98,Copper
6390,8000,Chai,30-Oct-98,Chromium
6631,34000,Somchair,30-Oct-98,Copper
6632,11000,Somchair,30-Oct-98,Chromium
2644,9000,Boonsri,7-Nov-98,Copper
2645,0,Boonsri,7-Nov-98,Chromium
3007,14000,Boonsri,7-Nov-98,Copper
3008,0,Boonsri,7-Nov-98,Chromium
4989,29000,Kohsoom,14-Nov-98,Copper
4990,27000,Kohsoom,14-Nov-98,Chromium
8720,20000,Kannika,20-Nov-98,Copper
8721,20000,Kannika,20-Nov-98,Chromium
9195,20000,Kannika,20-Nov-98,Copper
9196,10000,Kannika,20-Nov-98,Chromium
9678,20000,Kannika,20-Nov-98,Copper
9679,10000,Kannika,20-Nov-98,Chromium
9804,23000,Sakda,20-Nov-98,Copper
9805,10000,Sakda,20-Nov-98,Chromium
10047,24000,Sakda,20-Nov-98,Copper
10048,11900,Sakda,20-Nov-98,Chromium
10167,20000,Sakda,20-Nov-98,Copper
10168,16000,Sakda,20-Nov-98,Chromium
5473,21000,Chai,26-Nov-98,Copper
5474,5000,Chai,26-Nov-98,Chromium
5951,27000,Chai,26-Nov-98,Copper
5952,5000,Chai,26-Nov-98,Chromium
6429,66000,Chai,26-Nov-98,Copper
6430,30000,Chai,26-Nov-98,Chromium
6671,33000,Somchair,28-Nov-98,Copper
6672,7000,Somchair,28-Nov-98,Chromium
6791,33000,Busarakhan,28-Nov-98,Copper
6792,5000,Busarakhan,28-Nov-98,Chromium
2684,4000,Boonsri,5-Dec-98,Copper
2685,9000,Boonsri,5-Dec-98,Chromium
3047,10000,Boonsri,5-Dec-98,Copper
3048,6000,Boonsri,5-Dec-98,Chromium
9844,21000,Sakda,10-Dec-98,Copper
9845,6000,Sakda,10-Dec-98,Chromium
10087,23000,Sakda,10-Dec-98,Copper
10088,9000,Sakda,10-Dec-98,Chromium
10207,28000,Sakda,10-Dec-98,Copper
10208,6000,Sakda,10-Dec-98,Chromium
5029,35000,Kohsoom,13-Dec-98,Copper
5030,39000,Kohsoom,13-Dec-98,Chromium
8754,27000,Kannika,17-Dec-98,Copper
8755,10000,Kannika,17-Dec-98,Chromium
9235,21000,Kannika,17-Dec-98,Copper
9236,10000,Kannika,17-Dec-98,Chromium
9718,30000,Kannika,17-Dec-98,Copper
9719,20000,Kannika,17-Dec-98,Chromium
5513,23000,Chai,18-Dec-98,Copper
5514,13000,Chai,18-Dec-98,Chromium
5991,29000,Chai,18-Dec-98,Copper
5992,5000,Chai,18-Dec-98,Chromium
6469,38000,Chai,18-Dec-98,Copper
6470,5000,Chai,18-Dec-98,Chromium
6711,20000,Somchair,19-Dec-98,Copper
6712,37000,Somchair,19-Dec-98,Chromium
6831,21000,Busarakhan,19-Dec-98,Copper
6832,36000,Busarakhan,19-Dec-98,Chromium
41746,23000,Boonsri,9-Jan-99,Copper
41747,22000,Boonsri,9-Jan-99,Chromium
45735,55000,Kohsoom,16-Jan-99,Copper
45736,46000,Kohsoom,16-Jan-99,Chromium
52453,46000,Sakda,16-Jan-99,Copper
52454,10000,Sakda,16-Jan-99,Chromium
52874,33000,Sakda,16-Jan-99,Copper
52875,14000,Sakda,16-Jan-99,Chromium
53635,54000,Sakda,16-Jan-99,Copper
53636,7000,Sakda,16-Jan-99,Chromium
50878,27000,Kannika,21-Jan-99,Copper
50879,21000,Kannika,21-Jan-99,Chromium
51295,34000,Kannika,21-Jan-99,Copper
51296,34000,Kannika,21-Jan-99,Chromium
52052,46000,Kannika,21-Jan-99,Copper
52053,14000,Kannika,21-Jan-99,Chromium
48099,19000,Somchair,27-Jan-99,Copper
48100,13000,Somchair,27-Jan-99,Chromium
48867,23000,Busarakhan,27-Jan-99,Copper
48868,22000,Busarakhan,27-Jan-99,Chromium
46129,28000,Chai,30-Jan-99,Copper
46130,12000,Chai,30-Jan-99,Chromium
46921,36000,Chai,30-Jan-99,Copper
46922,46000,Chai,30-Jan-99,Chromium
47325,38000,Chai,30-Jan-99,Copper
47326,19000,Chai,30-Jan-99,Chromium
41017,21000,Boonsri,11-Feb-99,Copper
41018,19000,Boonsri,11-Feb-99,Chromium
41776,14000,Boonsri,11-Feb-99,Copper
41777,12000,Boonsri,11-Feb-99,Chromium
42151,32000,Boonsri,11-Feb-99,Copper
42152,14000,Boonsri,11-Feb-99,Chromium
45767,32000,Kohsoom,13-Feb-99,Copper
45768,37000,Kohsoom,13-Feb-99,Chromium
46168,19000,Chai,18-Feb-99,Copper
46169,15000,Chai,18-Feb-99,Chromium
46959,25000,Chai,18-Feb-99,Copper
46960,19000,Chai,18-Feb-99,Chromium
47363,22000,Chai,18-Feb-99,Copper
47364,13000,Chai,18-Feb-99,Chromium
48136,57000,Somchair,20-Feb-99,Copper
48137,18000,Somchair,20-Feb-99,Chromium
48904,19000,Busarakhan,20-Feb-99,Copper
48905,13000,Busarakhan,20-Feb-99,Chromium
50911,24000,Kannika,26-Feb-99,Copper
50912,14000,Kannika,26-Feb-99,Chromium
51329,29000,Kannika,26-Feb-99,Copper
51330,29000,Kannika,26-Feb-99,Chromium
52085,21000,Kannika,26-Feb-99,Copper
52086,11000,Kannika,26-Feb-99,Chromium
52486,22000,Sakda,27-Feb-99,Copper
52487,14000,Sakda,27-Feb-99,Chromium
52906,25000,Sakda,27-Feb-99,Copper
52907,18000,Sakda,27-Feb-99,Chromium
53668,37000,Sakda,27-Feb-99,Copper
53669,15000,Sakda,27-Feb-99,Chromium
41052,19000,Boonsri,11-Mar-99,Copper
41053,8000,Boonsri,11-Mar-99,Chromium
41810,29000,Boonsri,11-Mar-99,Copper
41811,3000,Boonsri,11-Mar-99,Chromium
42185,60000,Boonsri,11-Mar-99,Copper
42186,4000,Boonsri,11-Mar-99,Chromium
45797,18000,Kohsoom,13-Mar-99,Copper
45798,8600,Kohsoom,13-Mar-99,Chromium
46207,43000,Chai,17-Mar-99,Copper
46208,3000,Chai,17-Mar-99,Chromium
46997,22000,Chai,17-Mar-99,Copper
46998,3000,Chai,17-Mar-99,Chromium
47401,20000,Chai,17-Mar-99,Copper
47402,2500,Chai,17-Mar-99,Chromium
48172,11000,Somchair,19-Mar-99,Copper
48173,1600,Somchair,19-Mar-99,Chromium
48940,11000,Busarakhan,19-Mar-99,Copper
48941,1400,Busarakhan,19-Mar-99,Chromium
50946,19000,Kannika,24-Mar-99,Copper
50947,6200,Kannika,24-Mar-99,Chromium
51363,15000,Kannika,24-Mar-99,Copper
51364,4600,Kannika,24-Mar-99,Chromium
52118,15000,Kannika,24-Mar-99,Copper
52119,4400,Kannika,24-Mar-99,Chromium
52522,13000,Sakda,25-Mar-99,Copper
52523,3300,Sakda,25-Mar-99,Chromium
52941,13000,Sakda,25-Mar-99,Copper
52942,3300,Sakda,25-Mar-99,Chromium
53702,15000,Sakda,25-Mar-99,Copper
53703,2800,Sakda,25-Mar-99,Chromium
41087,26000,Boonsri,16-Apr-99,Copper
41088,14000,Boonsri,16-Apr-99,Chromium
41841,14000,Boonsri,16-Apr-99,Copper
41842,7000,Boonsri,16-Apr-99,Chromium
42217,13000,Boonsri,16-Apr-99,Copper
42218,6000,Boonsri,16-Apr-99,Chromium
45832,12000,Kohsoom,22-Apr-99,Copper
45833,10000,Kohsoom,22-Apr-99,Chromium
46244,22000,Chai,22-Apr-99,Copper
46245,6000,Chai,22-Apr-99,Chromium
47032,17000,Chai,22-Apr-99,Copper
47033,7000,Chai,22-Apr-99,Chromium
47437,20000,Chai,22-Apr-99,Copper
47438,6000,Chai,22-Apr-99,Chromium
48206,28000,Somchair,23-Apr-99,Copper
48207,13000,Somchair,23-Apr-99,Chromium
48975,29000,Busarakhan,23-Apr-99,Copper
48976,11000,Busarakhan,23-Apr-99,Chromium
50982,14000,Kannika,23-Apr-99,Copper
50983,8000,Kannika,23-Apr-99,Chromium
51396,26000,Kannika,23-Apr-99,Copper
51397,8000,Kannika,23-Apr-99,Chromium
52152,26000,Kannika,23-Apr-99,Copper
52153,8000,Kannika,23-Apr-99,Chromium
52559,11000,Sakda,26-Apr-99,Copper
52560,7000,Sakda,26-Apr-99,Chromium
52974,28000,Sakda,26-Apr-99,Copper
52975,22000,Sakda,26-Apr-99,Chromium
53736,12000,Sakda,26-Apr-99,Copper
53737,14000,Sakda,26-Apr-99,Chromium
41120,23000,Boonsri,13-May-99,Copper
41121,6000,Boonsri,13-May-99,Chromium
41872,21000,Boonsri,13-May-99,Copper
41873,5000,Boonsri,13-May-99,Chromium
42251,19000,Boonsri,13-May-99,Copper
42252,8000,Boonsri,13-May-99,Chromium
45864,14000,Kohsoom,15-May-99,Copper
45865,3000,Kohsoom,15-May-99,Chromium
46278,48000,Chai,20-May-99,Copper
46279,7000,Chai,20-May-99,Chromium
47064,27000,Chai,20-May-99,Copper
47065,3000,Chai,20-May-99,Chromium
47470,22000,Chai,20-May-99,Copper
47471,8000,Chai,20-May-99,Chromium
52590,45080,Sakda,26-May-99,Copper
52591,19080,Sakda,26-May-99,Chromium
53005,39630,Sakda,26-May-99,Copper
53006,39920,Sakda,26-May-99,Chromium
53767,24000,Sakda,26-May-99,Copper
53768,4000,Sakda,26-May-99,Chromium
48236,18000,Somchair,27-May-99,Copper
48237,4000,Somchair,27-May-99,Chromium
49005,15000,Busarakhan,27-May-99,Copper
49006,2000,Busarakhan,27-May-99,Chromium
51013,23000,Kannika,28-May-99,Copper
51014,4000,Kannika,28-May-99,Chromium
51427,26000,Kannika,28-May-99,Copper
51428,4000,Kannika,28-May-99,Chromium
52185,31000,Kannika,28-May-99,Copper
52186,5000,Kannika,28-May-99,Chromium
41155,10000,Boonsri,6-Jun-99,Copper
41156,6000,Boonsri,6-Jun-99,Chromium
41905,12000,Boonsri,6-Jun-99,Copper
41906,9000,Boonsri,6-Jun-99,Chromium
42285,15000,Boonsri,6-Jun-99,Copper
42286,7000,Boonsri,6-Jun-99,Chromium
45897,29000,Kohsoom,18-Jun-99,Copper
45898,15000,Kohsoom,18-Jun-99,Chromium
46312,14000,Chai,19-Jun-99,Copper
46313,5000,Chai,19-Jun-99,Chromium
47097,20000,Chai,19-Jun-99,Copper
47098,6000,Chai,19-Jun-99,Chromium
47504,17000,Chai,19-Jun-99,Copper
47505,5000,Chai,19-Jun-99,Chromium
48267,150000,Somchair,22-Jun-99,Copper
48268,12000,Somchair,22-Jun-99,Chromium
49038,18000,Busarakhan,22-Jun-99,Copper
49039,10000,Busarakhan,22-Jun-99,Chromium
51047,15000,Kannika,23-Jun-99,Copper
51048,7000,Kannika,23-Jun-99,Chromium
51459,13000,Kannika,23-Jun-99,Copper
51460,7000,Kannika,23-Jun-99,Chromium
52219,14000,Kannika,23-Jun-99,Copper
52220,7000,Kannika,23-Jun-99,Chromium
52627,11000,Sakda,25-Jun-99,Copper
52628,7000,Sakda,25-Jun-99,Chromium
53041,11000,Sakda,25-Jun-99,Copper
53042,6000,Sakda,25-Jun-99,Chromium
53800,13000,Sakda,25-Jun-99,Copper
53801,6000,Sakda,25-Jun-99,Chromium
45910,43900,Kohsoom,15-Jul-99,Copper
45911,29800,Kohsoom,15-Jul-99,Chromium
46326,33100,Chai,15-Jul-99,Copper
46327,20900,Chai,15-Jul-99,Chromium
48276,43600,Somchair,15-Jul-99,Copper
48277,19500,Somchair,15-Jul-99,Chromium
49051,38300,Busarakhan,15-Jul-99,Copper
49052,22100,Busarakhan,15-Jul-99,Chromium
51061,39400,Kannika,15-Jul-99,Copper
51062,22000,Kannika,15-Jul-99,Chromium
52640,46400,Sakda,15-Jul-99,Copper
52641,49700,Sakda,15-Jul-99,Chromium
41186,8000,Boonsri,22-Jul-99,Copper
41187,9000,Boonsri,22-Jul-99,Chromium
41935,7000,Boonsri,22-Jul-99,Copper
41936,8000,Boonsri,22-Jul-99,Chromium
42315,17000,Boonsri,22-Jul-99,Copper
42316,9000,Boonsri,22-Jul-99,Chromium
46352,15000,Chai,22-Jul-99,Copper
46353,7000,Chai,22-Jul-99,Chromium
47128,9000,Chai,22-Jul-99,Copper
47129,9000,Chai,22-Jul-99,Chromium
47535,9000,Chai,22-Jul-99,Copper
47536,9000,Chai,22-Jul-99,Chromium
45935,20000,Kohsoom,24-Jul-99,Copper
45936,12000,Kohsoom,24-Jul-99,Chromium
48301,106000,Somchair,24-Jul-99,Copper
48302,19000,Somchair,24-Jul-99,Chromium
49076,20000,Busarakhan,24-Jul-99,Copper
49077,19000,Busarakhan,24-Jul-99,Chromium
