id,Water temperature value,location,sample date,measure
2221,2,Boonsri,11-Jan-98,Water temperature
8291,1,Kannika,26-Jan-98,Water temperature
8772,1,Kannika,26-Jan-98,Water temperature
9255,1,Kannika,26-Jan-98,Water temperature
5049,2,Chai,31-Jan-98,Water temperature
5533,2,Chai,31-Jan-98,Water temperature
6011,2,Chai,31-Jan-98,Water temperature
2261,5,Boonsri,15-Feb-98,Water temperature
5088,4,Chai,20-Feb-98,Water temperature
5572,4,Chai,20-Feb-98,Water temperature
6050,4,Chai,20-Feb-98,Water temperature
8331,5,Kannika,24-Feb-98,Water temperature
8812,5,Kannika,24-Feb-98,Water temperature
9295,5,Kannika,24-Feb-98,Water temperature
2301,2,Boonsri,12-Mar-98,Water temperature
5127,4,Chai,19-Mar-98,Water temperature
5611,4,Chai,19-Mar-98,Water temperature
6089,4,Chai,19-Mar-98,Water temperature
8371,3,Kannika,21-Mar-98,Water temperature
8852,3,Kannika,21-Mar-98,Water temperature
9335,3,Kannika,21-Mar-98,Water temperature
2341,8,Boonsri,11-Apr-98,Water temperature
2704,7,Boonsri,11-Apr-98,Water temperature
4805,21,Kohsoom,16-Apr-98,Water temperature
5166,21,Chai,17-Apr-98,Water temperature
5650,21,Chai,17-Apr-98,Water temperature
6128,21,Chai,17-Apr-98,Water temperature
6489,20.5,Somchair,17-Apr-98,Water temperature
8411,21,Kannika,18-Apr-98,Water temperature
8892,21,Kannika,18-Apr-98,Water temperature
9375,21,Kannika,18-Apr-98,Water temperature
9864,21,Sakda,18-Apr-98,Water temperature
2383,15,Boonsri,9-May-98,Water temperature
2745,13,Boonsri,9-May-98,Water temperature
5207,22,Chai,20-May-98,Water temperature
5691,22,Chai,20-May-98,Water temperature
6169,22,Chai,20-May-98,Water temperature
8453,21,Kannika,26-May-98,Water temperature
8934,21,Kannika,26-May-98,Water temperature
9417,21,Kannika,26-May-98,Water temperature
2423,24.5,Boonsri,6-Jun-98,Water temperature
2785,24.5,Boonsri,6-Jun-98,Water temperature
4847,25,Kohsoom,27-Jun-98,Water temperature
5247,24,Chai,28-Jun-98,Water temperature
5731,24,Chai,28-Jun-98,Water temperature
6209,24,Chai,28-Jun-98,Water temperature
6530,22,Somchair,29-Jun-98,Water temperature
8493,25,Kannika,29-Jun-98,Water temperature
8974,25,Kannika,29-Jun-98,Water temperature
9457,25,Kannika,29-Jun-98,Water temperature
9905,25,Sakda,30-Jun-98,Water temperature
2464,19,Boonsri,11-Jul-98,Water temperature
2826,17,Boonsri,11-Jul-98,Water temperature
5287,26.5,Chai,23-Jul-98,Water temperature
5771,26.5,Chai,23-Jul-98,Water temperature
